,keywords,citation
99,"Financial journalism, information subsidies, media agenda-building, agenda-setting, journalist co-orientation, automatic content analysis, initial public offerings","Meily M. F. Cheung, Benson S. Y. Lam & Brian M. H. So (2020) Who Leads the IPO News: Agenda-Building and Intermedia Agenda-Setting in a Routinised and Standardised News Context, Journalism Studies, 21:12, 1681-1704, DOI: 10.1080/1461670X.2020.1788974"
100,"Framing, Mars, print newspapers, tone, United Kingdom, United States","Mikayla Mace & Carol B. Schwalbe (2020) From Robots to Humans: Newspaper Coverage of Mars in the United States and the United Kingdom 2011–2016, Journalism Studies, 21:13, 1913-1932, DOI: 10.1080/1461670X.2020.1799238"
101,"Gatekeeping, company news, company characteristics, visibility, tone, news, automated content analysis","Jeroen G.F. Jonkman, Damian Trilling, Piet Verhoeven & Rens Vliegenthart (2020) To Pass or Not to Pass: How Corporate Characteristics Affect Corporate Visibility and Tone in Company News Coverage, Journalism Studies, 21:1, 1-18, DOI: 10.1080/1461670X.2019.1612266"
102,"History of journalism, newswriting style, reporting techniques, editorial practices, medieval merchants, Renaissance diplomacy","Juraj Kittler (2020) “The Pen is so Noble and Excellent an Instrument”: How the Medieval Merchants and Renaissance Diplomats Invented the Newswriting Style, Journalism Studies, 21:10, 1403-1419, DOI: 10.1080/1461670X.2020.1755346"
103,"Homicide, crime themes, newspaper, photojournalism, image, content analysis","Walter Works & Jennifer S. Wong (2020) Using Crime News Reporting Themes to Predict Image Inclusion in Newspaper Homicide Articles, Journalism Studies, 21:4, 425-442, DOI: 10.1080/1461670X.2019.1670719"
104,"Human interest, ordinary people, exemplars, strategic communication, health reporting, source relations, information subsidies","Kjersti Thorbjørnsrud & Espen Ytreberg (2020) A Human Interest Economy: The Strategic Value of Turning Ordinary People into Exemplars in the News Media, Journalism Studies, 21:8, 1093-1108, DOI: 10.1080/1461670X.2020.1720520"
105,"Hybrid media, journalism, digital affordances, video, hyperlinks, Twitter","Emily Harmer & Rosalynd Southern (2020) Is Digital News Really that Digital? An Analysis of How Online News Sites in the UK use Digital Affordances to Enhance Their Reporting, Journalism Studies, 21:16, 2234-2248, DOI: 10.1080/1461670X.2020.1831397"
106,"Immigration, framing analysis, online news, visual framing, visual communication, Latino migrants","Umberto Famulari (2020) Framing the Trump Administration’s “Zero Tolerance” Policy: A Quantitative Content Analysis of News Stories and Visuals in US News Websites, Journalism Studies, 21:16, 2267-2284, DOI: 10.1080/1461670X.2020.1832141"
107,"Incidental news exposure, news use, social media, trust in news, political interest","Nadine Strauß, Brigitte Huber & Homero Gil de Zúñiga (2020) “Yes, I Saw It – But Didn’t Read It…” A Cross-Country Study, Exploring Relationships between Incidental News Exposure and News Use across Platforms, Digital Journalism, 8:9, 1181-1205, DOI: 10.1080/21670811.2020.1832130"
108,"Incidental news, news consumption, news diversity, mixed methods research, mobile news, MobileDNA, serendipity, social recommendations","Kristin Van Damme, Marijn Martens, Sarah Van Leuven, Mariek Vanden Abeele & Lieven De Marez (2020) Mapping the Mobile DNA of News. Understanding Incidental and Serendipitous Mobile News Consumption, Digital Journalism, 8:1, 49-68, DOI: 10.1080/21670811.2019.1655461"
109,"Information security, fourth estate, journalists, sources, surveillance, digital security, technology, protection","Jennifer R. Henrichsen (2020) Breaking Through the Ambivalence: Journalistic Responses to Information Security Technologies, Digital Journalism, 8:3, 328-346, DOI: 10.1080/21670811.2019.1653207"
110,"Information security, freelance, beat, security culture","Masashi Crete-Nishihata, Joshua Oliver, Christopher Parsons, Dawn Walker, Lokman Tsui & Ronald Deibert (2020) The Information Security Cultures of Journalism, Digital Journalism, 8:8, 1068-1091, DOI: 10.1080/21670811.2020.1777882"
111,"Innovation, journalism, news, literature review, digital journalism, sociology of news","Valerie Belair-Gagnon & Allison J. Steinke (2020) Capturing Digital News Innovation Research in Organizations, 1990–2018, Journalism Studies, 21:12, 1724-1743, DOI: 10.1080/1461670X.2020.1789496"
112,"Innovative learning culture, newsroom culture, newspapers, creativity, resilience, newsroom innovation, newsroom transformation, innovation capacity","Ornella Porcu, Liesbeth Hermans & Marcel Broersma (2020) Unlocking the Newsroom: Measuring Journalists’ Perceptions of Innovative Learning Culture, Journalism Studies, 21:10, 1420-1438, DOI: 10.1080/1461670X.2020.1758956"
113,"Institutional myth, legitimacy, discursive journalistic authority, attacks on the press, fake news, Trump and the press, journalistic responses, metajournalistic discourse","Michael Koliska, Kalyani Chadha & Alison Burns (2020) Talking Back: Journalists Defending Attacks Against their Profession in the Trump Era, Journalism Studies, 21:11, 1496-1513, DOI: 10.1080/1461670X.2020.1763190"
114,"International comparison, content analysis, news coverage, key events, immigration, refugees","Thomas Zerback, Carsten Reinemann, Peter Van Aelst & Andrea Masini (2020) Was Lampedusa a key Event for Immigration News? An Analysis of the Effects of the Lampedusa Disaster on Immigration Coverage in Germany, Belgium, and Italy, Journalism Studies, 21:6, 748-765, DOI: 10.1080/1461670X.2020.1722730"
115,"Internships, journalism, work-integrated learning, inclusion, university-led WIL, journalism studies","Faith Valencia-Forrester (2020) Models of Work-Integrated Learning in Journalism Education, Journalism Studies, 21:5, 697-712, DOI: 10.1080/1461670X.2020.1719875"
116,"Investigative journalism, accountability, impacts, political agenda-setting, collaborative journalism, Panama Papers","Magda Konieczna & Lucas Graves (2020) “Everything Just Went Apeshit”: Revisiting the “Mobilization Model” of Journalistic Impact, Journalism Studies, 21:16, 2343-2359, DOI: 10.1080/1461670X.2020.1852098"
117,"Islamist terrorism, terrorism news, differentiation, actors, news sources‌, Muslims","Jörg Matthes, Ruta Kaskeleviciute, Desirée Schmuck, Christian von Sikorski, Claudia Klobasa, Helena Knupfer & Melanie Saumer (2020) Who Differentiates between Muslims and Islamist Terrorists in Terrorism News Coverage? An Actor-based Approach, Journalism Studies, 21:15, 2135-2153, DOI: 10.1080/1461670X.2020.1812422"
118,"Journalism studies, methodology, practice theory, routines, news practices, news sources","Zvi Reich & Aviv Barnoy (2020) How News Become “News” in Increasingly Complex Ecosystems: Summarizing Almost Two Decades of Newsmaking Reconstructions, Journalism Studies, 21:7, 966-983, DOI: 10.1080/1461670X.2020.1716830"
119,"Journalism, democracy, public debate, Fourth Estate, journalistic roles, framing, contestation, news media","Marie Garnier, Margit van Wessel, Peter A. Tamás & Severine van Bommel (2020) The Chick Diffusion: How Newspapers Fail to Meet Normative Expectations Regarding Their Democratic Role in Public Debate, Journalism Studies, 21:5, 636-658, DOI: 10.1080/1461670X.2019.1707705"
120,"Journalism, journalism redundancies, layoffs, job loss, management, emotions, news industry, precarious work","Matthew Ricketson, Andrew Dodd, Lawrie Zion & Monika Winarnita (2020) “Like Being Shot in the Face” or “I’m Glad I’m Out”: Journalists’ Experiences of Job Loss in the Australian Media Industry 2012–2014, Journalism Studies, 21:1, 54-71, DOI: 10.1080/1461670X.2019.1627899"
121,"Journalism, media regulation, media policy, digital platforms","Philip M. Napoli (2020) Connecting Journalism and Public Policy: New Concerns and Continuing Challenges, Digital Journalism, 8:6, 691-703, DOI: 10.1080/21670811.2020.1775104"
122,"Journalism, modernization, multiple modernities, paradigm repair, Mexico, transitional journalism","Víctor Hugo Reyna, Martín Echeverría & Rubén Arnoldo González (2020) Beyond Exogenous Models: Mexican Journalism’s Modernization in its Own Terms, Journalism Studies, 21:13, 1815-1835, DOI: 10.1080/1461670X.2020.1796765"
123,"Journalism, news audiences, sentiment analysis, solutions journalism, survey, Montgomery Advertiser, community journalism","Kyser Lough & Karen McIntyre (2021) Transitioning to Solutions Journalism: One Newsroom's Shift to Solutions-focused Reporting, Journalism Studies, 22:2, 193-208, DOI: 10.1080/1461670X.2020.1843065"
124,"Journalism, news, network, ethnography, media ecologies, mixed methods, qualitative, quantitative","Sue Robinson & C. W. Anderson (2020) Network Ethnography in Journalism Studies: A Mixed-Method Approach to Studying Media Ecologies, Journalism Studies, 21:7, 984-1001, DOI: 10.1080/1461670X.2020.1720519"
125,"Journalism, political journalism, boundary work, paradigm repair, interviews, Australian journalism, US journalism, journalistic authority","Stephanie Brookes (2020) “There’s Just Way More Places Operating in the Same Space”: Competition and Boundary Work in Australian and United States Political Journalism, Journalism Studies, 21:3, 319-335, DOI: 10.1080/1461670X.2019.1644190"
126,"Journalism, social media, WhatsApp, content analysis, survey","Karin Boczek & Lars Koppers (2020) What’s New about Whatsapp for News? A Mixed-Method Study on News Outlets’ Strategies for Using WhatsApp, Digital Journalism, 8:1, 126-144, DOI: 10.1080/21670811.2019.1692685"
127,"Journalism, suicide reports, Werther effect, media guidelines, responsible reporting on suicide, qualitative interviews","Antonia Markiewitz, Florian Arendt & Sebastian Scherr (2020) Increasing Adherence to Media Guidelines on Responsible Reporting on Suicide: Suggestions from Qualitative Interviews with German Journalists, Journalism Studies, 21:4, 494-511, DOI: 10.1080/1461670X.2019.1686412"
128,"Journalist interactions, social capital, social media, digital democracy, journalism studies, political communication","Matthew Barnidge, Will Heath, Jiehua Zhang & Ryan Broussard (2020) Business as Usual? A Social Capital Approach to Understanding Interactions with Journalists on Twitter, Journalism Studies, 21:3, 406-424, DOI: 10.1080/1461670X.2019.1670091"
129,"Journalistic authority, norms & routines, journalistic professionalism, press-government relations, editorials, content analysis","Regina G. Lawrence & Young Eun Moon (2021) “We Aren’t Fake News”: The Information Politics of the 2018 #FreePress Editorial Campaign, Journalism Studies, 22:2, 155-173, DOI: 10.1080/1461670X.2020.1831399"
130,"Journalistic performance, journalistic norms, survey, transparency, trust, trustworthiness","Michael Karlsson (2020) Dispersing the Opacity of Transparency in Journalism on the Appeal of Different Forms of Transparency to the General Public, Journalism Studies, 21:13, 1795-1814, DOI: 10.1080/1461670X.2020.1790028"
131,"Journalistic translation, journalism history, early newspapers and translation, news agencies and translation, interdisciplinarity","Roberto A. Valdeón (2020) On the Interface Between Journalism and Translation Studies: A Historical Overview and Suggestions for Collaborative Research, Journalism Studies, 21:12, 1644-1661, DOI: 10.1080/1461670X.2020.1788413"
132,"Journalists, newswork, reporting, knowledge brokering, news media, use of research evidence","Nicole Gesualdo, Matthew S. Weber & Itzhak Yanovitzky (2020) Journalists as Knowledge Brokers, Journalism Studies, 21:1, 127-143, DOI: 10.1080/1461670X.2019.1632734"
133,"Journalists, role conception, audience, expectations, representative survey, comparison","Wiebke Loosen, Julius Reimer & Sascha Hölig (2020) What Journalists Want and What They Ought to Do (In)Congruences Between Journalists’ Role Conceptions and Audiences’ Expectations, Journalism Studies, 21:12, 1744-1774, DOI: 10.1080/1461670X.2020.1790026"
134,"Journalists’ Facebook use, role conception, newsroom routines, socialist-communist media system","Hong Tien Vu, Le Thanh Trieu & Hoa Thanh Nguyen (2020) Routinizing Facebook: How Journalists’ Role Conceptions Influence their Social Media Use for Professional Purposes in a Socialist-Communist Country, Digital Journalism, 8:7, 885-903, DOI: 10.1080/21670811.2020.1770111"
135,"Letters to the editor, public discourse, tabloid newspapers, public opinion, elections, content analysis","Lore Hayek, Manuel Mayrl & Uta Russmann (2020) The Citizen as Contributor—Letters to the Editor in the Austrian Tabloid Paper Kronen Zeitung (2008–2017), Journalism Studies, 21:8, 1127-1145, DOI: 10.1080/1461670X.2019.1702476"
136,"Listening, media and marginalisation, news values, Royal Commission into institutional Responses to child sexual abuse, media monitoring, media scandal, hierarchies of attention","Lisa Waller, Tanja Dreher, Kristy Hess, Kerry McCallum & Eli Skogerbø (2020) Media Hierarchies of Attention: News Values and Australia’s Royal Commission into Institutional Responses to Child Sexual Abuse, Journalism Studies, 21:2, 180-196, DOI: 10.1080/1461670X.2019.1633244"
137,"Local elections, candidate evaluations‌, local news, news resources, sheriff elections, content analysis","Lindsey Meeks (2020) Undercovered, Underinformed: Local News, Local Elections, and U.S. Sheriffs, Journalism Studies, 21:12, 1609-1626, DOI: 10.1080/1461670X.2020.1781546"
138,"Local journalism, public policy, public funding of journalism, case study, archival research, Kingdon","Sarah Stonbely, Matthew S. Weber & Christopher Satullo (2020) Innovation in Public Funding for Local Journalism: A Case Study of New Jersey’s 2018 Civic Information Bill, Digital Journalism, 8:6, 740-757, DOI: 10.1080/21670811.2020.1749102"
139,"Local media, newspapers, interviews, quality journalism, comparative, Europe","Joy Jenkins & Rasmus Kleis Nielsen (2020) Proximity, Public Service, and Popularity: A Comparative Study of How Local Journalists View Quality News, Journalism Studies, 21:2, 236-253, DOI: 10.1080/1461670X.2019.1636704"
140,"Local news, local news organizations, paying behaviour, financial state, content creation, engagement","Manuel Goyanes (2020) Why Do Citizens Pay for Online Political News and Public Affairs? Socio-psychological Antecedents of Local News Paying Behaviour, Journalism Studies, 21:4, 547-563, DOI: 10.1080/1461670X.2019.1694429"
141,"Media diversity, systematic review, interdisciplinary work, pluralism","Felicia Loecherbach, Judith Moeller, Damian Trilling & Wouter van Atteveldt (2020) The Unified Framework of Media Diversity: A Systematic Literature Review, Digital Journalism, 8:5, 605-642, DOI: 10.1080/21670811.2020.1764374"
142,"Media framing, nuclear energy, frame analysis, journalism, Dutch media, climate change","Mirjam Vossen (2020) Nuclear Energy in the Context of Climate Change: A Frame Analysis of the Dutch Print Media, Journalism Studies, 21:10, 1439-1458, DOI: 10.1080/1461670X.2020.1760730"
143,"Media markets, media repertoires, digital journalism, Twitter, social network analysis, online news, social media","Adrian Rauchfleisch, Daniel Vogler & Mark Eisenegger (2020) Transnational News Sharing on Social Media: Measuring and Analysing Twitter News Media Repertoires of Domestic and Foreign Audience Communities, Digital Journalism, 8:9, 1206-1230, DOI: 10.1080/21670811.2020.1835511"
144,"Media policy, future of journalism, public media, political economy","Victor Pickard (2020) Restructuring Democratic Infrastructures: A Policy Approach to the Journalism Crisis, Digital Journalism, 8:6, 704-719, DOI: 10.1080/21670811.2020.1733433"
145,"Media roles, conflict, Northern Ireland, communitarianism, peace journalism, NGOs, information subsidies","Charis Rice & Maureen Taylor (2020) “Reconciliation Isn’t Sexy”: Perceptions of News Media in Post-Conflict Northern Ireland, Journalism Studies, 21:6, 820-837, DOI: 10.1080/1461670X.2020.1724183"
146,"Media, Spanish-language, racial attitudes, Hispanics, Whites, social identity","Joshua P. Darr, Brittany N. Perry, Johanna L. Dunaway & Mingxiao Sui (2020) Seeing Spanish: The Effects of Language-Based Media Choices on Resentment and Belonging, Political Communication, 37:4, 488-511, DOI: 10.1080/10584609.2020.1713268"
147,"Mediated public connection, local media, convergence, fragmentation, audiences, digital journalism, local democracy, network analysis","Ragnhild Kristine Olsen (2020) Connecting People? Understanding Media’s Role as Democratic Resources for People in Digitally Advanced Local Environments, Digital Journalism, 8:4, 506-525, DOI: 10.1080/21670811.2019.1679029"
148,"Metajournalistic discourse, undercover journalism, deception, subterfuge, virtue and utilitarian ethics, political economy","Sylvester Senyo Ofori-Parku & Kwaku Botwe (2020) “This is (Not) Journalism”: Corruption, Subterfuge, and Metajournalistic Discourses on Undercover Journalism in Ghana, Journalism Studies, 21:3, 388-405, DOI: 10.1080/1461670X.2019.1664928"
149,"Mobile ethnography, mobile journalism, mobile news, news alert, news consumption, push notification, value creation","Leena Mäkelä, Mika Boedeker & Nina Helander (2020) Value Emergence in the Usage of Mobile News Alerts, Digital Journalism, 8:1, 69-86, DOI: 10.1080/21670811.2019.1654899"
150,"Mobile news, mobile journalism, mobilities, smartphones, apps","Gerard Goggin (2020) Digital Journalism after Mobility, Digital Journalism, 8:1, 170-173, DOI: 10.1080/21670811.2019.1711434"
151,"Mobile news, social media news, news effects, political knowledge, campaign participation","Jakob Ohme (2020) Mobile but Not Mobilized? Differential Gains from Mobile News Consumption for Citizens’ Political Knowledge and Campaign Participation, Digital Journalism, 8:1, 103-125, DOI: 10.1080/21670811.2019.1697625"
152,"Mobile technology, mobilities, mobile journalism, digital journalism, journalism education, labor","Matthew N. Bui & Rachel E. Moran (2020) Making the 21st Century Mobile Journalist: Examining Definitions and Conceptualizations of Mobility and Mobile Journalism within Journalism Education, Digital Journalism, 8:1, 145-163, DOI: 10.1080/21670811.2019.1664926"
153,"Mobile, alerts, smartphone, push notifications, passive learning, incidental exposure","Natalie Jomini Stroud, Cynthia Peacock & Alexander L. Curry (2020) The Effects of Mobile Push Notifications on News Consumption and Learning, Digital Journalism, 8:1, 32-48, DOI: 10.1080/21670811.2019.1655462"
154,"Mobile, smartphone, news, production, consumption, time, space, ritual, sustainability","Leopoldina Fortunati & John O’Sullivan (2020) Understanding Mobile News: Looking beyond the Lockscreen, Digital Journalism, 8:1, 164-169, DOI: 10.1080/21670811.2019.1709522"
155,"Mobilities, smartphones, MoJos, epistemology, liquidity, fluidity, news, journalism","Andrew Duffy, Rich Ling, Nuri Kim, Edson Tandoc Jr. & Oscar Westlund (2020) News: Mobiles, Mobilities and Their Meeting Points, Digital Journalism, 8:1, 1-14, DOI: 10.1080/21670811.2020.1712220"
156,"Moderation, incivility, comments, machine heuristic, news bias, credibility","Sai Wang (2021) Moderating Uncivil User Comments by Humans or Machines? The Effects of Moderation Agent on Perceptions of Bias and Credibility in News Content, Digital Journalism, 9:1, 64-83, DOI: 10.1080/21670811.2020.1851279"
157,"Moderation, user comments, online journalism, dark participation","Florian Wintterlin, Tim Schatto-Eckrodt, Lena Frischlich, Svenja Boberg & Thorsten Quandt (2020) How to Cope with Dark Participation: Moderation Practices in German Newsrooms, Digital Journalism, 8:7, 904-924, DOI: 10.1080/21670811.2020.1797519"
158,"Networked public sphere, alternative media, far-right, topic modeling, election, alt-right","Jonas Kaiser, Adrian Rauchfleisch & Nikki Bourassa (2020) Connecting the (Far-)Right Dots: A Topic Modeling and Hyperlink Analysis of (Far-)Right Media Coverage during the US Elections 2016, Digital Journalism, 8:3, 422-441, DOI: 10.1080/21670811.2019.1682629"
159,"News avoidance, news consumption, media trust, news overload, media preferences, opportunity structures, inadvertent audiences","Morten Skovsgaard & Kim Andersen (2020) Conceptualizing News Avoidance: Towards a Shared Understanding of Different Causes and Potential Solutions, Journalism Studies, 21:4, 459-476, DOI: 10.1080/1461670X.2019.1686410"
160,"News avoidance, news consumption, watchdog journalism, political efficacy, in-depth interviews, qualitative audience research","Ruth Palmer, Benjamin Toff & Rasmus Kleis Nielsen (2020) “The Media Covers Up a Lot of Things”: Watchdog Ideals Meet Folk Theories of Journalism, Journalism Studies, 21:14, 1973-1989, DOI: 10.1080/1461670X.2020.1808516"
161,"News consumption, community participation, local news, national news, civic journalism","Esther Thorson, Weiyue Chen & Stephen Lacy (2020) National and Local News Consumption and Indices of Community Participation in an American Civic-Journalism News Environment, Journalism Studies, 21:4, 443-458, DOI: 10.1080/1461670X.2019.1672576"
162,"News diversity, content analysis, media concentration, newsroom ethnography, media studies, newsroom innovation","Jonathan Hendrickx (2020) Trying to Survive While Eroding News Diversity: Legacy News Media’s Catch-22, Journalism Studies, 21:5, 598-614, DOI: 10.1080/1461670X.2019.1694430"
163,"News domestication, Indian newspapers, #MeToo, women’s movement, #MeTooIndia, localization, hashtag activism","Suman Mishra (2020) From #MeToo to #MeTooIndia: News Domestication in Indian English Language Newspapers, Journalism Studies, 21:5, 659-677, DOI: 10.1080/1461670X.2019.1709882"
164,"News engagement, news interaction, pathways to news, secondary data analysis, social media, online news","Yoonmo Sang, Jee Young Lee, Sora Park, Caroline Fisher & Glen Fuller (2020) Signalling and Expressive Interaction: Online News Users’ Different Modes of Interaction on Digital Platforms, Digital Journalism, 8:4, 467-485, DOI: 10.1080/21670811.2020.1743194"
165,"News events, text mining, word embeddings, unsupervised machine learning, network clustering","Damian Trilling & Marieke van Hoof (2020) Between Article and Topic: News Events as Level of Analysis and Their Computational Identification, Digital Journalism, 8:10, 1317-1337, DOI: 10.1080/21670811.2020.1839352"
166,"News feed, algorithms, consumptive curation, social media, Facebook, social cognitive theory","Shuning Lu (2020) Taming the News Feed on Facebook: Understanding Consumptive News Feed Curation through a Social Cognitive Perspective, Digital Journalism, 8:9, 1163-1180, DOI: 10.1080/21670811.2020.1837639"
167,"News framing, dominant frames, news events, evidence, diachronic analysis, qualitative analysis, negotiation of frames","Christian Baden & Katsiaryna Stalpouskaya (2020) Maintenance of News Frames: How US, British and Russian News Made Sense of Unfolding Events in the Syrian Chemical Weapons Crisis, Journalism Studies, 21:16, 2305-2325, DOI: 10.1080/1461670X.2020.1843066"
168,"News media ecology, information infrastructure, platforms, Facebook, journalism, interviews, structural topic modelling, mixed methods","Kjerstin Thorson, Mel Medeiros, Kelley Cotter, Yingying Chen, Kourtnie Rodgers, Arram Bae & Sevgi Baykaldi (2020) Platform Civics: Facebook in the Local Information Infrastructure, Digital Journalism, 8:10, 1231-1257, DOI: 10.1080/21670811.2020.1842776"
169,"News media, media concentration, editorial cooperation, news agencies, content analysis, automated text comparison","Daniel Vogler, Linards Udris & Mark Eisenegger (2020) Measuring Media Content Concentration at a Large Scale Using Automated Text Comparisons, Journalism Studies, 21:11, 1459-1478, DOI: 10.1080/1461670X.2020.1761865"
170,"News personalisation, agency, trust, utility, focus groups, grounded theory, personal curation, privacy","Cristina Monzer, Judith Moeller, Natali Helberger & Sarah Eskens (2020) User Perspectives on the News Personalisation Process: Agency, Trust and Utility as Building Blocks, Digital Journalism, 8:9, 1142-1162, DOI: 10.1080/21670811.2020.1773291"
171,"News quality, news evaluation, computational journalism, journalistic value, news consumption, text mining, artificial neural network","Sujin Choi, Hyopil Shin & Seung-Shik Kang (2021) Predicting Audience-Rated News Quality: Using Survey, Text Mining, and Neural Network Methods, Digital Journalism, 9:1, 84-105, DOI: 10.1080/21670811.2020.1842777"
172,"News sharing, news diffusion, partisan media, Facebook, social media, moral framing, moral foundations theory","Weiai Wayne Xu, Yoonmo Sang & Christopher Kim (2020) What Drives Hyper-Partisan News Sharing: Exploring the Role of Source, Style, and Content, Digital Journalism, 8:4, 486-505, DOI: 10.1080/21670811.2020.1761264"
173,"News sharing, polarization, gatekeeping, social media, Brazil","Natalia Aruguete, Ernesto Calvo & Tiago Ventura (2021) News Sharing, Gatekeeping, and Polarization: A Study of the #Bolsonaro Election, Digital Journalism, 9:1, 1-23, DOI: 10.1080/21670811.2020.1852094"
174,"News, fear, sensationalism, crisis, automated content analysis, longitudinal analysis","Valerie Hase, Katherine M. Engelke & Kimon Kieslich (2020) The Things We Fear. Combining Automated and Manual Content Analysis to Uncover Themes, Topics and Threats in Fear-Related News, Journalism Studies, 21:10, 1384-1402, DOI: 10.1080/1461670X.2020.1753092"
175,"News, sharing, gift-giving, social media, audience, phatic news","Andrew Duffy & Rich Ling (2020) The Gift of News: Phatic News Sharing on Social Media for Social Cohesion, Journalism Studies, 21:1, 72-87, DOI: 10.1080/1461670X.2019.1627900"
176,"Newsbots, human machine communication, Twitter, social bots, news engagement, news comments","Diego Gómez-Zará & Nicholas Diakopoulos (2020) Characterizing Communication Patterns between Audiences and Newsbots, Digital Journalism, 8:9, 1093-1113, DOI: 10.1080/21670811.2020.1816485"
177,"Newspaper, narrative, quotes, credibility, engagement, realism","Kobie van Krieken (2020) Do Reconstructive and Attributive Quotes in News Narratives Influence Engagement, Credibility and Realism?, Journalism Studies, 21:2, 145-161, DOI: 10.1080/1461670X.2019.1632735"
178,"Newsroom innovation, newsroom ethnography, journalism studies, media sociology, news diversity, organizational change","Jonathan Hendrickx & Ike Picone (2020) Innovation Beyond the Buzzwords: The Rocky Road Towardsa Digital First-based Newsroom, Journalism Studies, 21:14, 2025-2041, DOI: 10.1080/1461670X.2020.1809494"
179,"Nudges, social norms, survey experiment, false news, fake news, social media, disinformation, misinformation","Simge Andı & Jesper Akesson (2021) Nudging Away False News: Evidence from a Social Norms Experiment, Digital Journalism, 9:1, 106-125, DOI: 10.1080/21670811.2020.1847674"
180,"Online comments, public discourse, online journalism, field theory","J. David Wolfgang, Stephen McConnell & Hayley Blackburn (2020) Commenters as a Threat to Journalism? How Comment Moderators Perceive the Role of the Audience, Digital Journalism, 8:7, 925-944, DOI: 10.1080/21670811.2020.1802319"
181,"Online news consumption, Digital journalism, News user journeys, Web usage mining, sequential data, Markov chains","Susan Vermeer & Damian Trilling (2020) Toward a Better Understanding of News User Journeys: A Markov Chain Approach, Journalism Studies, 21:7, 879-894, DOI: 10.1080/1461670X.2020.1722958"
182,"Online news consumption, social media, political news, entertainment news, Markov chains, supervised machine learning","Susan Vermeer, Damian Trilling, Sanne Kruikemeier & Claes de Vreese (2020) Online News User Journeys: The Role of Social Media, News Websites, and Topics, Digital Journalism, 8:9, 1114-1141, DOI: 10.1080/21670811.2020.1767509"
183,"Online rumor, agenda setting, intermedia agenda setting, online news, social media, content analysis, time series analysis","Lei Guo & Yiyan Zhang (2020) Information Flow Within and Across Online Media Platforms: An Agenda-setting Analysis of Rumor Diffusion on News Websites, Weibo, and WeChat in China, Journalism Studies, 21:15, 2176-2195, DOI: 10.1080/1461670X.2020.1827012"
184,"Ordinary people, news subjects, transgender, trans, LGBTQ, journalist–source relations","Katherine Fink & Ruth Palmer (2020) “We Have to Stand Out to Blend In”: Ordinary Transgender People Speak About Being Subjects of News Stories, Journalism Studies, 21:8, 1109-1126, DOI: 10.1080/1461670X.2019.1699851"
185,"Photojournalism, identity, in-depth interviews, media sociology, professionalism, media ethics","Patrick Ferrucci, Ross Taylor & Kathleen I. Alaimo (2020) On the Boundaries: Professional Photojournalists Navigating Identity in an Age of Technological Democratization, Digital Journalism, 8:3, 367-385, DOI: 10.1080/21670811.2020.1732830"
186,"Policy preferences, elite influence, de-polarization, leader endorsement, party labels","Eduardo Levy Yeyati, Lorena Moscovich & Constanza Abuin (2020) Leader over Policy? The Scope of Elite Influence on Policy Preferences, Political Communication, 37:3, 398-422, DOI: 10.1080/10584609.2019.1698681"
187,"Political news, journalistic news, social media, social endorsements, selective exposure, news use, political interest, ecological validity","Jakob Ohme & Cornelia Mothes (2020) What Affects First- and Second-Level Selective Exposure to Journalistic News? A Social Media Online Experiment, Journalism Studies, 21:9, 1220-1242, DOI: 10.1080/1461670X.2020.1735490"
188,"Precarious professionalism, precarity, journalism, newswork, job instability, corruption, harassment","Julian Matthews & Kelechi Onyemaobi (2020) Precarious Professionalism: Journalism and the Fragility of Professional Practice in the Global South, Journalism Studies, 21:13, 1836-1851, DOI: 10.1080/1461670X.2020.1797524"
189,"Print newspapers, newspaper reading, news consumption, materiality, journalism, audiences","Pablo J. Boczkowski, Eugenia Mitchelstein & Facundo Suenzo (2020) The Smells, Sights, and Pleasures of Ink on Paper: The Consumption of Print Newspapers During a Period Marked by Their Crisis, Journalism Studies, 21:5, 565-581, DOI: 10.1080/1461670X.2019.1670092"
190,"Public service media, cultural citizenship, social media, Twitter, diversity, sports journalism, sportswomen, disability","José Luis Rojas-Torrijos & Xavier Ramon (2021) Exploring Agenda Diversity in European Public Service Media Sports Desks: A Comparative Study of Underrepresented Disciplines, Sportswomen and Disabled Athletes’ Coverage on Twitter, Journalism Studies, 22:2, 225-242, DOI: 10.1080/1461670X.2020.1809497"
191,"Radio, impact, women’s empowerment, Niger, radio journalism, gender equality","Emma Heywood (2020) Radio Journalism and Women's Empowerment in Niger, Journalism Studies, 21:10, 1344-1362, DOI: 10.1080/1461670X.2020.1745668"
192,"Right to be forgotten, digital journalism, GDPR, digital media, unpublishing requests, freedom of expression, news editors, media policy","Marko Milosavljević, Melita Poler & Rok Čeferin (2020) In the Name of the Right to be Forgotten: New Legal and Policy Issues and Practices regarding Unpublishing Requests in Slovenian Online News Media, Digital Journalism, 8:6, 780-796, DOI: 10.1080/21670811.2020.1747942"
193,"Safety of journalists, press censorship, online trolling, digital hate","Silvio Waisbord (2020) Mob Censorship: Online Harassment of US Journalists in Times of Digital Hate and Populism, Digital Journalism, 8:8, 1030-1046, DOI: 10.1080/21670811.2020.1818111"
194,"Satire, infotainment, comedy, interview studies, political humor, hybridity","Joonas Koivukoski & Sara Ödmark (2020) Producing Journalistic News Satire: How Nordic Satirists Negotiate a Hybrid Genre, Journalism Studies, 21:6, 731-747, DOI: 10.1080/1461670X.2020.1720522"
