municipal,name,website,medium
Ewing Township,WNDT-CD,no website,Television
Fair Haven Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Fair Haven Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Fair Haven Borough,Community Magazine -  Rumson/Fair Haven/Little Silver/Red Bank/Sea Bright/Locust,(no website),Magazine
Fair Haven Borough,"Link News, The",http://thelinknews.net,Newspaper
Fair Haven Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Fair Haven Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Fair Haven Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Fair Haven Borough,Patch-Rumson-Fair Haven,http://patch.com/new-jersey/rumson,Digital-first (online)
Fair Haven Borough,"Two River Times, The",http://www.tworivertimes.com,Newspaper
Fair Haven Borough,WLIW-TV,https://www.wliw.org/,Television
Fair Haven Borough,WNDT-CD,no website,Television
Fair Haven Borough,WNYC-FM,https://www.wnyc.org/,Radio
Fair Lawn Borough,201,http://www.201magazine.com/#201magazine,Magazine
Fair Lawn Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Fair Lawn Borough,Fair Lawn-Glen Rock Daily Voice,https://dailyvoice.com/new-jersey/fairlawn,Digital-first (online)
Fair Lawn Borough,Jersey Access Group: Fair Lawn Borough,no website,Television
Fair Lawn Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Fair Lawn Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Fair Lawn Borough,Patch-Fair Lawn-Saddle Brook,https://patch.com/new-jersey/fairlawn-saddlebrook,Digital-first (online)
Fair Lawn Borough,"Record, The",no website,Newspaper
Fair Lawn Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Fair Lawn Borough,TAP into Fair Lawn/Glen Rock,https://www.tapinto.net/towns/fair-lawn-slash-glen-rock/,Digital-first (online)
Fair Lawn Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Fair Lawn Borough,WLIW-TV,https://www.wliw.org/,Television
Fair Lawn Borough,WNDT-CD,no website,Television
Fair Lawn Borough,WNYC-FM,https://www.wnyc.org/,Radio
Fairfield Township (Cumberland County),Daily Journal,http://www.thedailyjournal.com/,Newspaper
Fairfield Township (Essex County),Essex News Daily,https://essexnewsdaily.com/,Newspaper
Fairfield Township (Essex County),Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Fairfield Township (Essex County),Local Talk News,no website,Newspaper
Fairfield Township (Essex County),"Progress, The",http://www.newjerseyhills.com/the_progress/,Newspaper
Fairfield Township (Essex County),"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Fairfield Township (Essex County),TAP into West Essex,https://www.tapinto.net/towns/west-essex/,Digital-first (online)
Fairfield Township (Essex County),WBGO-FM,https://www.wbgo.org/category/news,Radio
Fairfield Township (Essex County),WLIW-TV,https://www.wliw.org/,Television
Fairfield Township (Essex County),WLVT-TV,https://www.wlvt.org/,Television
Fairfield Township (Essex County),WNDT-CD,no website,Television
Fairfield Township (Essex County),WNYC-FM,https://www.wnyc.org/,Radio
Fairview Borough,201,http://www.201magazine.com/#201magazine,Magazine
Fairview Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Fairview Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Fairview Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Fairview Borough,"Record, The",no website,Newspaper
Fairview Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Fairview Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Fairview Borough,WLIW-TV,https://www.wliw.org/,Television
Fairview Borough,WNDT-CD,no website,Television
Fairview Borough,WNYC-FM,https://www.wnyc.org/,Radio
Fanwood Borough,countywatchers,https://countywatchers.wordpress.com/,Digital-first (online)
Fanwood Borough,Fanwood Post,https://rennamedia.com/publications/fanwood-post/,Newspaper
Fanwood Borough,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Fanwood Borough,TAP into Scotch Plains/Fanwood,https://www.tapinto.net/towns/scotch-plains-slash-fanwood/,Digital-first (online)
Fanwood Borough,"Times of Scotch Plains & Fanwood, The",no website,Newspaper
Fanwood Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Fanwood Borough,WLIW-TV,https://www.wliw.org/,Television
Fanwood Borough,WLVT-TV,https://www.wlvt.org/,Television
Fanwood Borough,WNDT-CD,no website,Television
Fanwood Borough,WNYC-FM,https://www.wnyc.org/,Radio
Far Hills Borough,"Bernardsville News, The",http://www.newjerseyhills.com/bernardsville_news/,Newspaper
Far Hills Borough,Courier News,http://www.mycentraljersey.com/news/courier-news/,Newspaper
Far Hills Borough,WLIW-TV,https://www.wliw.org/,Television
Far Hills Borough,WLVT-TV,https://www.wlvt.org/,Television
Far Hills Borough,WNDT-CD,no website,Television
Far Hills Borough,WNYC-FM,https://www.wnyc.org/,Radio
Farmingdale Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Farmingdale Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Farmingdale Borough,"Link News, The",http://thelinknews.net,Newspaper
Farmingdale Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Farmingdale Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Farmingdale Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Farmingdale Borough,"Tri-Town News, The",https://centraljersey.com/tri-town-news/,Newspaper
Farmingdale Borough,WLIW-TV,https://www.wliw.org/,Television
Farmingdale Borough,WNDT-CD,no website,Television
Farmingdale Borough,WNYC-FM,https://www.wnyc.org/,Radio
Fieldsboro Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Fieldsboro Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Fieldsboro Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Fieldsboro Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Fieldsboro Borough,WLIW-TV,https://www.wliw.org/,Television
Fieldsboro Borough,WLVT-TV,https://www.wlvt.org/,Television
Fieldsboro Borough,WNDT-CD,no website,Television
Flemington Borough,Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Flemington Borough,"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Flemington Borough,Patch-Flemington,https://patch.com/new-jersey/flemington,Digital-first (online)
Flemington Borough,Tap into Flemington/Raritan,https://www.tapinto.net/towns/flemington-slash-raritan/,Digital-first (online)
Flemington Borough,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Flemington Borough,WLIW-TV,https://www.wliw.org/,Television
Flemington Borough,WLVT-TV,https://www.wlvt.org/,Television
Flemington Borough,WNDT-CD,no website,Television
Florence Township,Courier Post,https://www.courierpostonline.com/,Newspaper
Florence Township,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Florence Township,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Florence Township,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Florence Township,WLVT-TV,https://www.wlvt.org/,Television
Florence Township,WNDT-CD,no website,Television
Florham Park Borough,Daily Record,http://www.dailyrecord.com/,Newspaper
Florham Park Borough,East Hanover/ Florham Park News; East Hanover/ Florham Park Life,https://www.mypaperonline.com/category/east-hanoverflorham-park-news,Newspaper
Florham Park Borough,Florham Park Eagle,http://www.newjerseyhills.com/florham_park_eagle/,Newspaper
Florham Park Borough,"Law.com/Legal Intelligencer, The",https://www.law.com/thelegalintelligencer/,Newspaper
Florham Park Borough,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Florham Park Borough,Patch-East Hanover-Florham Park,http://patch.com/new-jersey/easthanover-florhampark,Digital-first (online)
Florham Park Borough,Tap into East Hanover/Florham Park,https://www.tapinto.net/towns/east-hanover-slash-florham-park/,Digital-first (online)
Florham Park Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Florham Park Borough,WLIW-TV,https://www.wliw.org/,Television
Florham Park Borough,WLVT-TV,https://www.wlvt.org/,Television
Florham Park Borough,WNDT-CD,no website,Television
Florham Park Borough,WNYC-FM,https://www.wnyc.org/,Radio
Folsom Borough,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Fort Lee Borough,201,http://www.201magazine.com/#201magazine,Magazine
Fort Lee Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Fort Lee Borough,Fort Lee Daily Voice,https://dailyvoice.com/new-jersey/fortlee,Digital-first (online)
Fort Lee Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Fort Lee Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Fort Lee Borough,Patch-Fort Lee,http://patch.com/new-jersey/fortlee,Digital-first (online)
Fort Lee Borough,"Record, The",no website,Newspaper
Fort Lee Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Fort Lee Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Fort Lee Borough,WLIW-TV,https://www.wliw.org/,Television
Fort Lee Borough,WNDT-CD,no website,Television
Fort Lee Borough,WNYC-FM,https://www.wnyc.org/,Radio
Frankford Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Frankford Township,recordonline.com/Times Herald Record,https://www.recordonline.com/,Newspaper
Frankford Township,WLIW-TV,https://www.wliw.org/,Television
Frankford Township,WLVT-TV,https://www.wlvt.org/,Television
Frankford Township,WNDT-CD,no website,Television
Franklin Borough,Advertiser News-South,http://advertisernewssouth.com,Newspaper
Franklin Borough,New Jersey Herald,http://www.njherald.com/,Newspaper
Franklin Borough,recordonline.com/Times Herald Record,https://www.recordonline.com/,Newspaper
Franklin Borough,"Sentinel of Gloucester County, The",http://thenjsentinel.com/,Newspaper
Franklin Borough,WLIW-TV,https://www.wliw.org/,Television
Franklin Borough,WLVT-TV,https://www.wlvt.org/,Television
Franklin Borough,WNDT-CD,no website,Television
Franklin Lakes Borough,201,http://www.201magazine.com/#201magazine,Magazine
Franklin Lakes Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Franklin Lakes Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Franklin Lakes Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Franklin Lakes Borough,"Record, The",no website,Newspaper
Franklin Lakes Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Franklin Lakes Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Franklin Lakes Borough,WLIW-TV,https://www.wliw.org/,Television
Franklin Lakes Borough,WNDT-CD,no website,Television
Franklin Lakes Borough,WNYC-FM,https://www.wnyc.org/,Radio
Franklin Lakes Borough,Wyckoff-Franklin Lakes Daily Voice,https://dailyvoice.com/new-jersey/wyckoff,Digital-first (online)
Franklin Township (Gloucester County),Courier Post,https://www.courierpostonline.com/,Newspaper
Franklin Township (Gloucester County),Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Franklin Township (Gloucester County),South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Franklin Township (Somerset County),Courier News,http://www.mycentraljersey.com/news/courier-news/,Newspaper
Franklin Township (Somerset County),Franklin Reporter & Advocate,http://www.franklinreporter.com/,Newspaper
Franklin Township (Somerset County),"Montgomery News, The",https://www.themontynews.org/,Newspaper
Franklin Township (Somerset County),TAP into Franklin/Somerset,https://www.tapinto.net/towns/franklin-township/,Digital-first (online)
Franklin Township (Somerset County),WLIW-TV,https://www.wliw.org/,Television
Franklin Township (Somerset County),WLVT-TV,https://www.wlvt.org/,Television
Franklin Township (Somerset County),WNDT-CD,no website,Television
Franklin Township (Somerset County),WNDT-CD,no website,Television
Franklin Township (Somerset County),WNYC-FM,https://www.wnyc.org/,Radio
Franklin Township (Hunterdon County),Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Franklin Township (Hunterdon County),"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Franklin Township (Hunterdon County),WDVR-FM,https://www.pennjerseyradio.org/,Radio
Franklin Township (Hunterdon County),WLIW-TV,https://www.wliw.org/,Television
Franklin Township (Hunterdon County),WLVT-TV,https://www.wlvt.org/,Television
Franklin Township (Hunterdon County),WNDT-CD,no website,Television
Franklin Township (Warren County),Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Franklin Township (Warren County),"Morning Call, The",http://www.mcall.com/,Newspaper
Franklin Township (Warren County),New Jersey Herald,http://www.njherald.com/,Newspaper
Franklin Township (Warren County),WLIW-TV,https://www.wliw.org/,Television
Franklin Township (Warren County),WLVT-TV,https://www.wlvt.org/,Television
Fredon Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Fredon Township,recordonline.com/Times Herald Record,https://www.recordonline.com/,Newspaper
Fredon Township,WLIW-TV,https://www.wliw.org/,Television
Fredon Township,WLVT-TV,https://www.wlvt.org/,Television
Fredon Township,WNDT-CD,no website,Television
Freehold Borough,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Freehold Borough,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Freehold Borough,"Link News, The",http://thelinknews.net,Newspaper
Freehold Borough,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Freehold Borough,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Freehold Borough,News Transcript,https://centraljersey.com/news-transcript/,Newspaper
Freehold Borough,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Freehold Borough,Patch-Freehold,http://patch.com/new-jersey/freehold,Digital-first (online)
Freehold Borough,WLIW-TV,https://www.wliw.org/,Television
Freehold Borough,WLVT-TV,https://www.wlvt.org/,Television
Freehold Borough,WNDT-CD,no website,Television
Freehold Borough,WNYC-FM,https://www.wnyc.org/,Radio
Freehold Township,Atlantic Highlands Herald,http://www.ahherald.com/,Digital-first (online)
Freehold Township,"Coast Star, The",https://starnewsgroup.com/the-coast-star-e-edition/,Newspaper
Freehold Township,"Link News, The",http://thelinknews.net,Newspaper
Freehold Township,"Monmouth Journal, The",http://www.themonmouthjournal.com,Newspaper
Freehold Township,More Monmouth Musings,http://www.moremonmouthmusings.net/,Digital-first (online)
Freehold Township,"Ocean Star, The",https://starnewsgroup.com/the-ocean-star-e-edition/,Newspaper
Freehold Township,WLIW-TV,https://www.wliw.org/,Television
Freehold Township,WLVT-TV,https://www.wlvt.org/,Television
Freehold Township,WNDT-CD,no website,Television
Freehold Township,WNYC-FM,https://www.wnyc.org/,Radio
Frelinghuysen Township,Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Frelinghuysen Township,"Morning Call, The",http://www.mcall.com/,Newspaper
Frelinghuysen Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Frelinghuysen Township,WLIW-TV,https://www.wliw.org/,Television
Frelinghuysen Township,WLVT-TV,https://www.wlvt.org/,Television
Frelinghuysen Township,WNDT-CD,no website,Television
Frenchtown Borough,Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Frenchtown Borough,"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Frenchtown Borough,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Frenchtown Borough,WLVT-TV,https://www.wlvt.org/,Television
Frenchtown Borough,WNDT-CD,no website,Television
Galloway Township,"Argo, The ",http://www.stocktonargo.com,Newspaper
Galloway Township,Atlantic Cape Review,(no website),Newspaper
Galloway Township,Atlantic Cape Review,(no website),Newspaper
Galloway Township,"Current of Galloway, Egg Harbor City & Port Republic, The",https://www.pressofatlanticcity.com/currents_gazettes/galloway_township/,Newspaper
Galloway Township,Jersey Access Group: Galloway Township,no website,Television
Galloway Township,Jersey Access Group: Stockton University,no website,Television
Galloway Township,Patch-Galloway,http://patch.com/new-jersey/galloway,Digital-first (online)
Galloway Township,"Press of Atlantic City, The",http://www.pressofatlanticcity.com/,Newspaper
Galloway Township,Shore Local,https://www.shorelocalnews.com/,Magazine
Galloway Township,Shore Local,https://www.shorelocalnews.com/,Magazine
Garfield City,201,http://www.201magazine.com/#201magazine,Magazine
Garfield City,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Garfield City,Garfield-Lodi Daily Voice,https://dailyvoice.com/new-jersey/garfield,Digital-first (online)
Garfield City,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Garfield City,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Garfield City,"Record, The",no website,Newspaper
Garfield City,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Garfield City,WBGO-FM,https://www.wbgo.org/category/news,Radio
Garfield City,WLIW-TV,https://www.wliw.org/,Television
Garfield City,WNDT-CD,no website,Television
Garfield City,WNYC-FM,https://www.wnyc.org/,Radio
Garwood Borough,countywatchers,https://countywatchers.wordpress.com/,Digital-first (online)
Garwood Borough,Garwood Times,https://rennamedia.com/publications/garwood-times/,Newspaper
Garwood Borough,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Garwood Borough,Patch-Clark-Garwood,http://patch.com/new-jersey/clark,Digital-first (online)
Garwood Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Garwood Borough,WLIW-TV,https://www.wliw.org/,Television
Garwood Borough,WLVT-TV,https://www.wlvt.org/,Television
Garwood Borough,WNDT-CD,no website,Television
Garwood Borough,WNYC-FM,https://www.wnyc.org/,Radio
Gibbsboro Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Gibbsboro Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Gibbsboro Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Gibbsboro Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Gibbsboro Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Gibbsboro Borough,WLVT-TV,https://www.wlvt.org/,Television
Glassboro Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Glassboro Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Glassboro Borough,"Sentinel of Gloucester County, The",http://thenjsentinel.com/,Newspaper
Glassboro Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Glassboro Borough,"Whit Online, The",http://www.thewhitonline.com,Newspaper
Glassboro Borough,WLVT-TV,https://www.wlvt.org/,Television
Glen Gardner Borough,Hunterdon County Democrat,http://www.nj.com/hunterdon-county-democrat/,Newspaper
Glen Gardner Borough,"Hunterdon County News, The",https://thehunterdoncountynews.com/,Digital-first (online)
Glen Gardner Borough,Hunterdon Review,http://www.newjerseyhills.com/hunterdon_review/,Newspaper
Glen Gardner Borough,WDVR-FM,https://www.pennjerseyradio.org/,Radio
Glen Gardner Borough,WLIW-TV,https://www.wliw.org/,Television
Glen Gardner Borough,WLVT-TV,https://www.wlvt.org/,Television
Glen Gardner Borough,WNDT-CD,no website,Television
Glen Ridge Borough,Baristanet,https://baristanet.com,Digital-first (online)
Glen Ridge Borough,Essex News Daily,https://essexnewsdaily.com/,Newspaper
Glen Ridge Borough,Glen Ridge Voice,no website,Newspaper
Glen Ridge Borough,Jersey Access Group: Glen Ridge Borough,no website,Television
Glen Ridge Borough,Ledger Local,http://www.nj.com/independentpress/,Digital-first (online)
Glen Ridge Borough,Local Talk News,no website,Newspaper
Glen Ridge Borough,"Montclair Dispatch, The",https://montclairdispatch.com,Newspaper
Glen Ridge Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Glen Ridge Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Glen Ridge Borough,WLIW-TV,https://www.wliw.org/,Television
Glen Ridge Borough,WLVT-TV,https://www.wlvt.org/,Television
Glen Ridge Borough,WNDT-CD,no website,Television
Glen Ridge Borough,WNYC-FM,https://www.wnyc.org/,Radio
Glen Rock Borough,201,http://www.201magazine.com/#201magazine,Magazine
Glen Rock Borough,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Glen Rock Borough,Fair Lawn-Glen Rock Daily Voice,https://dailyvoice.com/new-jersey/fairlawn,Digital-first (online)
Glen Rock Borough,Glen Rock Gazette,no website,Newspaper
Glen Rock Borough,Glen Rock News Today,http://glenrocknews.today/,Digital-first (online)
Glen Rock Borough,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Glen Rock Borough,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Glen Rock Borough,"Record, The",no website,Newspaper
Glen Rock Borough,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Glen Rock Borough,TAP into Fair Lawn/Glen Rock,https://www.tapinto.net/towns/fair-lawn-slash-glen-rock/,Digital-first (online)
Glen Rock Borough,WBGO-FM,https://www.wbgo.org/category/news,Radio
Glen Rock Borough,WLIW-TV,https://www.wliw.org/,Television
Glen Rock Borough,WNDT-CD,no website,Television
Glen Rock Borough,WNYC-FM,https://www.wnyc.org/,Radio
Gloucester City,Courier Post,https://www.courierpostonline.com/,Newspaper
Gloucester City,Gloucester City News,no website,Newspaper
Gloucester City,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Gloucester City,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Gloucester City,Philadelphia Gay News,http://www.epgn.com/,Newspaper
Gloucester City,"Retrospect, The",http://www.theretrospect.com,Newspaper
Gloucester City,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Gloucester City,South Jersey Observer,https://southjerseyobserver.com/,Digital-first (online)
Gloucester City,WLVT-TV,https://www.wlvt.org/,Television
Gloucester City,CNB News,https://www.gloucestercitynews.net/,Digital-first (online)
Gloucester Township,Campus Press,https://www.camdencc.edu/student_life/campus-press/,Newspaper
Gloucester Township,Courier Post,https://www.courierpostonline.com/,Newspaper
Gloucester Township,Gloucester Township News,http://gloucestertownshipnews.com,Digital-first (online)
Gloucester Township,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Gloucester Township,Patch-Gloucester Township,http://patch.com/new-jersey/gloucestertownship,Digital-first (online)
Gloucester Township,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Gloucester Township,"Retrospect, The",http://www.theretrospect.com,Newspaper
Gloucester Township,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Gloucester Township,WLVT-TV,https://www.wlvt.org/,Television
Gloucester Township,CNB News,https://www.gloucestercitynews.net/,Digital-first (online)
Green Brook Township,Community News,(no website),Newspaper
Green Brook Township,Courier News,http://www.mycentraljersey.com/news/courier-news/,Newspaper
Green Brook Township,Green Brook Gazette,https://rennamedia.com/publications/green-brook-gazette/,Newspaper
Green Brook Township,Patch-Watchung-Green Brook,https://patch.com/new-jersey/watchung-greenbrook,Digital-first (online)
Green Brook Township,Tap into North Plainfield/Green Brook/Watchung,https://www.tapinto.net/towns/north-plainfield-slash-green-brook/,Digital-first (online)
Green Brook Township,WLIW-TV,https://www.wliw.org/,Television
Green Brook Township,WLVT-TV,https://www.wlvt.org/,Television
Green Brook Township,WNDT-CD,no website,Television
Green Brook Township,WNYC-FM,https://www.wnyc.org/,Radio
Green Township,New Jersey Herald,http://www.njherald.com/,Newspaper
Green Township,recordonline.com/Times Herald Record,https://www.recordonline.com/,Newspaper
Green Township,WLIW-TV,https://www.wliw.org/,Television
Green Township,WLVT-TV,https://www.wlvt.org/,Television
Green Township,WNDT-CD,no website,Television
Greenwich Township (Cumberland County),Daily Journal,http://www.thedailyjournal.com/,Newspaper
Greenwich Township (Gloucester County),Courier Post,https://www.courierpostonline.com/,Newspaper
Greenwich Township (Gloucester County),Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Greenwich Township (Gloucester County),South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Greenwich Township (Gloucester County),WLVT-TV,https://www.wlvt.org/,Television
Greenwich Township (Warren County),Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Greenwich Township (Warren County),"Morning Call, The",http://www.mcall.com/,Newspaper
Greenwich Township (Warren County),New Jersey Herald,http://www.njherald.com/,Newspaper
Greenwich Township (Warren County),WDVR-FM,https://www.pennjerseyradio.org/,Radio
Greenwich Township (Warren County),WLVT-TV,https://www.wlvt.org/,Television
Greenwich Township (Warren County),WNDT-CD,no website,Television
Guttenberg Town,"Bayonne, Life on the Peninsula",https://hudsonreporter.com/category/issues/bayonne-life-on-the-peninsula-issue/,Magazine
Guttenberg Town,Hudson County View,https://hudsoncountyview.com/,Digital-first (online)
Guttenberg Town,Hudson Reporter.com,http://www.hudsonreporter.com,Digital-first (online)
Guttenberg Town,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Guttenberg Town,WBGO-FM,https://www.wbgo.org/category/news,Radio
Guttenberg Town,WLIW-TV,https://www.wliw.org/,Television
Guttenberg Town,WNDT-CD,no website,Television
Guttenberg Town,WNYC-FM,https://www.wnyc.org/,Radio
Hackensack City,201,http://www.201magazine.com/#201magazine,Magazine
Hackensack City,Bergenfield Daily Voice,https://dailyvoice.com/new-jersey/bergenfield,Digital-first (online)
Hackensack City,Hackensack Chronicle,no website,Newspaper
Hackensack City,Hackensack Daily Voice,https://dailyvoice.com/new-jersey/hackensack,Digital-first (online)
Hackensack City,Jewish Standard,http://jewishstandard.timesofisrael.com/,Newspaper
Hackensack City,"Paramus Post, The",http://www.paramuspost.com/,Newspaper
Hackensack City,"Record, The",no website,Newspaper
Hackensack City,"Star-Ledger, The",http://www.nj.com/starledger/,Newspaper
Hackensack City,TAP into Hackensack,https://www.tapinto.net/towns/hackensack/,Digital-first (online)
Hackensack City,WBGO-FM,https://www.wbgo.org/category/news,Radio
Hackensack City,WLIW-TV,https://www.wliw.org/,Television
Hackensack City,WNDT-CD,no website,Television
Hackensack City,WNYC-FM,https://www.wnyc.org/,Radio
Hackettstown Town,Hackettstown News/Hackettstown Life,https://www.mypaperonline.com/category/the-hackettstown-news#,Newspaper
Hackettstown Town,Lehigh Valley News,http://www.lehighvalleylive.com/expresstimes/,Newspaper
Hackettstown Town,"Morning Call, The",http://www.mcall.com/,Newspaper
Hackettstown Town,New Jersey Herald,http://www.njherald.com/,Newspaper
Hackettstown Town,Patch-Hackettstown,http://patch.com/new-jersey/hackettstown,Digital-first (online)
Hackettstown Town,"Quill, The",no website,Newspaper
Hackettstown Town,WLIW-TV,https://www.wliw.org/,Television
Hackettstown Town,WLVT-TV,https://www.wlvt.org/,Television
Hackettstown Town,WNDT-CD,no website,Television
Haddon Heights Borough,Courier Post,https://www.courierpostonline.com/,Newspaper
Haddon Heights Borough,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Haddon Heights Borough,NJ Pen,https://www.njpen.com,Digital-first (online)
Haddon Heights Borough,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Haddon Heights Borough,"Retrospect, The",http://www.theretrospect.com,Newspaper
Haddon Heights Borough,South Jersey Biz,https://www.southjerseybiz.net/,Magazine
Haddon Heights Borough,WLVT-TV,https://www.wlvt.org/,Television
Haddon Township,Courier Post,https://www.courierpostonline.com/,Newspaper
Haddon Township,Jewish Community Voice,http://www.jewishvoicesnj.org/,Newspaper
Haddon Township,NJ Pen,https://www.njpen.com,Digital-first (online)
Haddon Township,Philadelphia (magazine),http://www.phillymag.com/,Magazine
Haddon Township,Philadelphia Gay News,http://www.epgn.com/,Newspaper
Haddon Township,"Retrospect, The",http://www.theretrospect.com,Newspaper
